numID	code	name	numparam	paramtype1	base1	length1	description1	paramtype2	base2	length2	description2	paramtype3	base3	length3	description3	paramtype4	base4	length4	description4	attribute description	modcode1	modcode2	modcode3	modcode4	*eol
76	hp%	Life %	1	0	-10	6	%													#1% Maximum Life	max				0
77	mana%	Mana %	1	0	-10	6	%													#1% Maximum Mana	max				0
78	thorns	Attacker Takes Damage Of	1	0	0	7														Attacker Takes Damage of $1	max				0
79	gold%	Extra Gold From Monsters %	1	0	-100	9	%													#1% Extra Gold From Monsters	max				0
80	mag%	Chance Of Getting Magic Items %	1	0	-100	8	%													#1% Better Chance of Getting Magic Items	max				0
81	knock	Knock Back	1	0	0	7	'1' is OK													Knock Back ($1)	max				0
82		Time Duration	1	0	-20	9																			0
83		Add Class Skill	2	0	0	3				3										#1 Amazon Skill Level	max				0
84		Unsentparam1	0	0	0	0														#1 Paladin Skill Level	max				0
85	addxp	Add experience	1	0	-50	9														#1 Necrmancer Skill Level	max				0
86		Heal after kill	1	0	0	7														#1 Sorceress Skill Level	max				0
87		Reduced prices	1	0	0	7														#1 Barbarian Skill Level	max				0
88		Double Herb Duration	1	0	0	1																			0
89	light	Light Radius	1	0	-4	4														#1 Light Radius	max				0
90	color	Light Color nv	1	0	0	24														Light Color ($1) nv	max				0
91	ease	Requirements %	1	0	-100	8	%													Requirements #1%	max				0
92		Level Require	1	0	0	7														$1% Slightly Increased Attack Speed	max				0
93	swing3	Increased Attack Speed	1	0	-20	7	%													$1% Increased Attack Speed	max				0
94		Level Require %	1	0	-64	7	%													$1% Greatly Increased Attack Speed	max				0
95		Last block frame	0	0																$1% Fast Run/Walk	max				0
96	move3	Faster Run/Walk	1	0	-20	7	%													$1% Faster Run/Walk	max				0
97		Non Class skill	2	0		9				6										#2 to $1	max				0
98		state	2	0		8				1										$1% Fast Hit Recovery Rate	max				0
99	balance2	Faster Hit Recovery Rate	1	0	-20	7	%													$1% Faster Hit Recovery Rate	max				0
100		Monster player count	0	0																$1% Fastest Hit Recovery Rate	max				0
101		Poison override	0	0																$1% Fast Block Rate	max				0
102	block2	Faster Block Rate	1	0	-20	7	%													$1% Faster Block Rate	max				0
103		Bypass undead	0	0																$1% Fastest Block Rate	max				0
104		Bypass demons	0	0																$1% Fast Cast Rate	max				0
105	cast2	Faster Cast Rate	1	0	-20	7	%													$1% Faster Cast Rate	max				0
106		Bypass beasts	0	0																$1% Fastest Cast Rate	max				0
107	skill	Single Skill	2	2	0	9	Skill	0	0	3	Level									#2 $1 [1]	param	max			0
108		Rest in peace	1	0	0	1														#2 $1 [2]	param	max			0
109		Curse resistance	1	0	0	9														#2 $1 [3]	param	max			0
110	res-pois-len	Poison Length Reduced By %	1	0	-20	8	%													Poison Length Reduced By $1%	max				0
111	dmg	Damage	1	0	-20	9														#1 Damage	max				0
112	howl	Hit Causes Monster To Flee %	1	10	1	7	(=#*100/127)% Chance													Hit Causes Monster To Flee $1%	max				0
113	stupidity	Hit Blinds Target	1	0	0	7														Hit Blinds Target #1	max				0
114	dmg-to-mana	Damage To Mana %	1	0	0	6	%													$1% Damage Goes to Mana	max				0
115	ignore-ac	Ignore Target Defense	1	0	0	1	Must be '1'													Ingnore Target Defense ($1)	max				0
116	reduce-ac	Target Defense %	1	0	0	7	%													$1% Target Defense	max				0
117	noheal	Prevent Monster Heal	1	0	0	7	'1' is OK													Prevent Monster Heal ($1)	max				0
118	half-freez	Half Freeze Duration	1	0	0	1	Must be '1'													Half Freeze Duration ($1)	max				0
119	att%	Bonus To Attack Rating %	1	0	-20	9	%													#1% Bonus to Attack Rating	max				0
120	dmg-ac	Reduce Monster Defense per Hit	1	0	-128	7														#1 Monster Defense per Hit	max				0
121	dmg-demon	Damage To Demons %	1	0	-20	9	%													#1% Damage to Demons	max				0
122	dmg-undead	Damage To Undead %	1	0	-20	9	%													#1% Damage to Undead	max				0
123	att-demon	Attack Rating Against Demons	1	0	-128	10														#1 Attack Rating vs Demons	max				0
124	att-undead	Attack Rating Against Undead	1	0	-128	10														#1 Attack Rating vs Undead	max				0
125	throw	Throwable	1	0	0	1	Must be '1'													Throwable ($1)	max				0
126	fireskill	Elemental Skill	2	0	0	3				3										#1 Fire Skill Levels	max				0
127	allskills	All Skill Levels	1	0	0	3														#1 All Skill Levels (FAKE)	max				0
128	light-thorns	Attacker Takes Lightning Dmg Of	1	0	0	5														Attacker Takes Lightning Damage of $1	max				0
129		ironmaiden_level																							0
130		lifetap_level																							0
131		thorns_percent																							0
132		bonearmor																							0
133		bonearmormax																							0
134	freeze	Attack Freezes Target	1	0	0	5														Attack Freeze Target #1	max				0
135	openwounds	Chance of Open Wounds	1	0	0	7	%													$1% Chance of Open Wounds	max				0
136	crush	Chance of Crushing Blow	1	0	0	7	%													$1% Chance of Crushing Blow	max				0
137	kick	Kick Damage	1	0	0	7														#1 Kick Damage	max				0
138	mana-kill	Mana After Each Kill	1	0	0	7														#1 Mana After Each Kill	max				0
139	demon-heal	Life After Each Demon Kill	1	0	0	7														#1 Life After Each Demon Kill	max				0
140	bloody	Extra Blood	1	0	0	7														$1% Chance of Deadly Strike	max				0
141	deadly	Chance of Deadly Strike	1	0	0	7	%													$1% Chance of Deadly Strike	max				0
142	abs-fire%	Fire Absorbs %	1	0	0	7	%													#1% Fire Absorbs	max				0
143	abs-fire	Fire Absorbs	1	0	0	7														#1 Fire Absorbs	max				0
144	abs-ltng%	Lightning Absorbs %	1	0	0	7	%													#1% Lightning Absorbs	max				0
145	abs-ltng	Lightning Absorbs	1	0	0	7														#1 Lightning Absorbs	max				0
146	abs-mag%	Magic Absorbs %	1	0	0	7	%													#1% Magic Absorbs	max				0
147	abs-mag	Magic Absorbs	1	0	0	7														#1 Magic Absorbs	max				0
148	abs-cold%	Cold Absorbs %	1	0	0	7	%													#1% Cold Absorbs	max				0
149	abs-cold	Cold Absorbs	1	0	0	7														#1 Cold Absorbs	max				0
150	slow	Slows Target By %	1	0	0	7	%													Slows Target By $1%	max				0
151	aura	Aura	2	0	0	9	Aura Id (Spell)			5	Level									Blessed Aim ($1)	max				0
152	indestruct	Indestructible	1	0	0	1	no idea													Defiance ($1)	max				0
153	nofreeze	Cannot be Frozen	1	0	0	1	Must be '1'													Cannot be Frozen ($1)	max				0
154	stamdrain	Slower Stamina Drain %	1	0	-20	7	%													$1% Slower Stamina Drain	max				0
155	reanimate	ReAnimate	2	0	0	10	Monster ID			7	%Change									$1% Chance of Reanimate Target	max				0
156	pierce	Pierce Attack %	1	0	0	7	%													#1% Pierce Attack	max				0
157	magicarrow	Fire Magic Arrows or Bolts	1	0	0	7	'1' is OK													Fire Magic Arrows or Bolts ($1)	max				0
158	explosivearrow	Fire Explosive Arrows or Bolts	1	0	0	7	'1' is OK													Fire Explosive Arrows or Bolts ($1)	max				0
159	dmg-throw	Min Throw Dmg nv	1	0	0	6														#1 Minimum Throw Damage nv	max				0
160	dmg-throw	Max Throw Dmg nv	1	0	0	7														#1 Maximum Throw Damage nv	max				0
161		UnCoded																							0
162		UnCoded																							0
163		UnCoded																							0
164		UnCoded																							0
165		UnCoded																							0
166		UnCoded																							0
167		UnCoded																							0
168		UnCoded																							0
169		UnCoded																							0
170		UnCoded																							0
171		UnCoded																							0
172		UnCoded																							0
173		UnCoded																							0
174		UnCoded																							0
175		UnCoded																							0
176		UnCoded																							0
177		UnCoded																							0
178		UnCoded																							0
179	dru	Attack Vs Monster	2	0	0	10	Monster Type			9	%									#1 Druid Skill Level	max				0
180	ass	Damage Vs Monster	2	0	0	10	Monster Type			9	%									#1 Assassin Skill Level	max				0
181	skill	fade	1	0	0	3														#2 $1 [4]	param	max			0
182	skill	Armor override %	0	0	0															#2 $1 [5]	param	max			0
183		Unused183	0	0	0	0														#2 $1 [6]	param	max			0
184		Unused184	0	0	0	0														#2 $1 [7]	param	max			0
185		Unused185	0	0	0	0														#2 $1 [8]	param	max			0
186		Unused186	0	0	0	0														#2 $1 [9]	param	max			0
187		Unused187	0	0	0	0														#2 $1 [10]	param	max			0
188	skilltab	Add Skill Tab	3	4	0	3	Skill Tab	0	0	13	Class			3	Level					#2 $1 [1]	param	max			0
189		Unused189	0																	#2 $1 [2]	param	max			0
190		Unused190	0																	#2 $1 [3]	param	max			0
191		Unused191	0																	#2 $1 [4]	param	max			0
192		Unused192	0																	#2 $1 [5]	param	max			0
193		Unused193	0																	#2 $1 [6]	param	max			0
194	sock	Increased Sockets	1	0	0	4														Increased Sockets By $1	param				0
195	att-skill	Skill On Attack	3	3	0	6	Spell Id	0	0	10	Parameter			7						$3% Chance of Cast Level $2 $1 On Attack [1]	param	min	max		0
196	kill-skill	Skill On Kill	3	3	0	6	Spell Id	0	0	10	Parameter			7						$3% Chance of Cast Level $2 $1 On Attack [2]	param	min	max		0
197	dth-skill	Skill On Death	3	3	0	6	Spell Id	0	0	10	Parameter			7						$3% Chance of Cast Level $2 $1 On Attack [3]	param	min	max		0
198	hit-skill	Skill On Hit	3	3	0	6	Spell Id	0	0	10	Parameter			7						$3% Chance of Cast Level $2 $1 On Striking [1]	param	min	max		0
199	lvl-skill	Skill On Levelup	3	3	0	6	Spell Id	0	0	10	Parameter			7						$3% Chance of Cast Level $2 $1 On Striking [2]	param	min	max		0
200		Unused200																							0
201	gethit-skill	Skill On Get Hit	3	3	0	6	Spell Id	0	0	10	Parameter			7						$3% Chance of Cast Level $2 $1 When Struck [1]	param	min	max		0
202		Unused202																							0
203		Unused203																							0
204	charged	Charged Skill	4	3	0	6	Spell Id	0	0	10	Level	0	0	8	Remain	0	0	8	Max	$4 of $3 Charges Level $2 $1 [1]	param	max	min	min	0
205		Unused205																							0
206		Unused206																							0
207		Unused207																							0
208		Unused208																							0
209		Unused209																							0
210		Unused210																							0
211		Unused211																							0
212		Unused212																							0
213		Unused213																							0
214	ac/lvl	Defense (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Defense / Level	param				0
215	ac%/lvl	Enhanced Defense (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1% Defense / Level	param				0
216	hp/lvl	Life (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Life / Level	param				0
217	mana/lvl	Mana (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Mana / Level	param				0
218	dmg/lvl	Maximum Damage (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Maximum Damage / Level	param				0
219	dmg%/lvl	Enhanced MaxDmg (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1% Maximum Damage / Level	param				0
220	str/lvl	Strength (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Strength / Level	param				0
221	dex/lvl	Dexterity (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Dexterity / Level	param				0
222	enr/lvl	Energy (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Energy / Level	param				0
223	vit/lvl	Vitality (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Vitality / Level	param				0
224	att/lvl	Att Rating (on Lvl)	1	6	0	6	(=#*0.5) / lvl													#1 Att Rating / Level	param				0
225	att%/lvl	Bonus to Att Rating % (on Lvl)	1	6	0	6	(=#*0.5) / lvl													#1% Bonus to Att Rating / Level	param				0
226	dmg-cold/lvl	Maximum Cold Dmg (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Maximum Cold Damage / Level	param				0
227	dmg-fire/lvl	Maximum Fire Dmg (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Maximum Fire Dmg / Level	param				0
228	dmg-ltng/lvl	Maximum Lightning Dmg (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Maximum Lightning Damage / Level	param				0
229	dmg-pois/lvl	Maximum Poison Dmg (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Maximum Poison Damage / Level	param				0
230	res-cold/lvl	Cold Resistance % (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													#1% Cold Resistance / Level	param				0
231	res-fire/lvl	Fire Resistance % (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													#1% Fire Resistance / Level	param				0
232	res-ltng/lvl	Lightning Resistance % (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													#1% Lightning Resistance / Level	param				0
233	res-pois/lvl	Poison Resistance % (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													#1% Poison Resistance / Level	param				0
234	abs-cold/lvl	Absorbs Cold Damage (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Cold Absorbs / Level	param				0
235	abs-fire/lvl	Absorbs Fire Damage (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Fire Absorbs / Level	param				0
236	abs-ltng/lvl	Absorbs Lightning Damage (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Lightning Absorbs / Level	param				0
237	abs-pois/lvl	Absorbs Poison (per lvl)	1	5	0	6	(=#*0.125) / lvl													Nothing ($1)	param				0
238	thorns/lvl	Attacker Takes Damage of (on Lvl)	1	5	0	5	(=#*0.125) / lvl													Attacker Takes Damage of $1/ Level	param				0
239	gold%/lvl	Extra Gold From Monsters % (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													#1% Extra Gold From Monsters / Level	param				0
240	mag%/lvl	Chance of Getting Magic Items % (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													#1% Better Chance of Getting Magic Items / Level	param				0
241	regen-stam	Heal Stamina Plus % (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													Heal Stamina Plus $1% / Level	param				0
242	stam/lvl	Maximum Stamina (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1% Maximum Stamina / Level	param				0
243	dmg-dem/lvl	Damage to Demons % (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													#1% Damage to Demons / Level	param				0
244	dmg-und/lvl	Damage to Undead % (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													#1% Damage to Undead / Level	param				0
245	att-dem/lvl	Att Rating against Demons (on Lvl)	1	6	0	6	(=#*0.5) / lvl													#1 Attack Rating vs Demons / Level	param				0
246	att-und/lvl	Att Rating against Undead (on Lvl)	1	6	0	6	(=#*0.5) / lvl													#1 Attack Rating vs Undead / Level	param				0
247	crush/lvl	Chance of Crushing Blow (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													#1% Chance of Crushing Blow / Level	param				0
248	wounds/lvl	Chance of Open Wounds (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													#1% Chance of Open Wounds / Level	param				0
249	kick/lvl	Kick Damage (on Lvl)	1	5	0	6	(=#*0.125) / lvl													#1 Kick Damage / Level	param				0
250	deadly/lvl	Chance of Deadly Strike (on Lvl)	1	5	0	6	(=#*0.125) % / lvl													#1% Chance of Deadly Strike / Level	param				0
251		Find Gems per level																							0
252	rep-dur	Repair 1 Durability In Seconds	1	7	0	6	(=100/#) sec													Repair 1 Durability in $1 sec	param				0
253	rep-quant	Replenish 1 Quantity In Seconds	1	7	0	6	(=100/#) sec													Replenish 1 Quantity in $1 sec	param				0
254	stack	Increased Stack Size	1	0	0	8														Increased Stash Size By $1	param				0
255		UnCoded																							0
256		UnCoded																							0
257		UnCoded																							0
258		UnCoded																							0
259		UnCoded																							0
260		UnCoded																							0
261		UnCoded																							0
262		UnCoded																							0
263		UnCoded																							0
264		UnCoded																							0
265		UnCoded																							0
266		UnCoded																							0
267		UnCoded																							0
268	ac/time	Defense (by Time) [1]	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Defense ($1) [1]	param	min	max		0
269	ac%/time	Defense (by Time) [2]	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Defense ($1) [2]	param	min	max		0
270	hp/time	Life (by Time)	3	8	0	2	Time	9	-256	10	(=#/256) Min	9	-256	10	(=#/256) Max					#2 - #3 Life ($1)	param	min	max		0
271	mana/time	Mana (by Time)	3	8	0	2	Time	9	-256	10	(=#/256) Min	9	-256	10	(=#/256) Max					#2 - #3 Mana ($1)	param	min	max		0
272	dmg/time	Max Damage (by Time) [1]	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Max Damage ($1) [1]	param	min	max		0
273	dmg%/time	Max Damage (by Time) [2]	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Max Damage ($1) [2]	param	min	max		0
274	str/time	Strength (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Strength ($1)	param	min	max		0
275	dex/time	Dexterity (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Dexterity ($1)	param	min	max		0
276	enr/time	Energy (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Energy ($1)	param	min	max		0
277	vit/time	Vitality (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Vitality ($1)	param	min	max		0
278	att/time	Attack Rating (by Time) [1]	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Attack Rating ($1) [1]	param	min	max		0
279	att%/time	Attack Rating (by Time) [2]	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Attack Rating ($1) [2]	param	min	max		0
280	dmg-cold/time	Max Cold Dmg (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Maximum Cold Damage ($1)	param	min	max		0
281	dmg-fire/time	Max Fire Dmg (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Maximum Fire Damage ($1)	param	min	max		0
282	dmg-ltng/time	Max Lightning Dmg (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Maximum Lightning Damage ($1)	param	min	max		0
283	dmg-pois/time	Max Poison Dmg (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Maximum Poison Damage ($1)	param	min	max		0
284	res-cold/time	Cold Resistance % (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					#2% - #3% Cold Resistance ($1)	param	min	max		0
285	res-fire/time	Fire Resistance % (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					#2% - #3% Fire Resistance ($1)	param	min	max		0
286	res-ltng/time	Lightning Resistance % (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					#2% - #3% Lightning Resistance ($1)	param	min	max		0
287	res-pois/time	Poison Resistance % (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					#2% - #3% Poison Resistance ($1)	param	min	max		0
288	abs-cold/time	Absorbs Cold Damage (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Cold Absorbs ($1)	param	min	max		0
289	abs-fire/time	Absorbs Fire Damage (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Fire Absorbs ($1)	param	min	max		0
290	abs-ltng/time	Absorbs Lightning Damage (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Lightning Absorbs ($1)	param	min	max		0
291	abs-pois/time	Blessed Aim	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Blessed Aim ($1, $2, $3)"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	param	min	max		0
292	gold%/time	Gold From Monsters % (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					#2% - #3% Extra Gold From Monsters ($1)	param	min	max		0
293	mag%/time	Find Magic Items % (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					#2% - #3% Better Chance of Getting Magic Items ($1)	param	min	max		0
294	regen-stam	Heal Stamina Plus % (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					#2% - #3% Heal Stamina Plus ($1)	param	min	max		0
295	stam/time	Max Stamina (by Time)	3	8	0	2	Time	9	-256	10	(=#/256) Min	9	-256	10	(=#/256) Max					#2 - #3 Max Stamina ($1)	param	min	max		0
296	dmg-dem/time	Damage vs Demon % (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					#2% - #3% Damage vs Demon ($1)	param	min	max		0
297	dmg-und/time	Damage vs Undead % (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					#2% - #3% Damage vs Undead ($1)	param	min	max		0
298	att-dem/time	Attack Rating vs Demon (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Attack Rating vs Demon ($1)	param	min	max		0
299	att-und/time	Attack Rating vs Undead (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Attack Rating vs Undead ($1)	param	min	max		0
300	crush/time	Chance of Crushing Blow (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					$2% - $3% Chance of Crushing Blow ($1)	param	min	max		0
301	wounds/time	Chance of Open Wounds (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					$2% - $3% Chance of Open Wounds ($1)	param	min	max		0
302	kick/time	Kick Damage (by Time)	3	8	0	2	Time	0	-256	10	Min	0	-256	10	Max					#2 - #3 Kick Damage ($1)	param	min	max		0
303	deadly/time	Chance of Deadly Strike (by Time)	3	8	0	2	Time	0	-256	10	% Min	0	-256	10	% Max					$2 - $3 Chance of Deadly Strike ($1)	param	min	max		0
304		item_find_gems_bytime																							0
305		item_pierce_cold	1		-50	8																			0
306		item_pierce_fire	1		-50	8																			0
307		item_pierce_ltng	1		-50	8																			0
308		item_pierce_pois	1		-50	8																			0
309		item_damage_vs_monster																							0
310		item_damage_percent_vs_monster																							0
311		item_tohit_vs_monster																							0
312		item_tohit_percent_vs_monster																							0
313		item_ac_vs_monster																							0
314		item_ac_percent_vs_monster																							0
315		firelength																							0
316		burningmin																							0
317		burningmax																							0
318		progressive_damage																							0
319		progressive_steal																							0
320		progressive_other																							0
